Player,Team,MIN,PTS,REB,AST,STL,BLK,TOV,FG3M,FTM,PRA,FPTS
Ochai Agbaji,TOR,0.0,4.7,2.5,0.6,0.2,0.4,0.5,0.5,0.6,7.8,9.9
Scottie Barnes,TOR,0.0,20.9,6.9,6.1,1.1,0.8,2.5,0.5,4.2,33.9,41.5
Jamison Battle,TOR,0.0,2.7,1.7,0.3,0.1,0.0,0.5,0.4,0.1,4.7,5.0
Gradey Dick,TOR,0.0,7.2,2.9,0.9,0.2,0.1,0.5,0.8,0.6,11.0,12.4
Brandon Ingram,TOR,0.0,18.4,5.8,4.2,0.8,0.9,2.4,1.5,3.7,28.4,34.4
A.J. Lawson,TOR,0.0,4.2,2.2,0.4,0.4,0.2,0.4,0.8,0.6,6.8,8.8
Sandro Mamukelashvili,TOR,0.0,11.3,4.1,1.9,0.5,0.6,0.5,0.8,1.2,17.3,21.9
Alijah Martin,TOR,0.0,3.2,1.4,1.0,0.6,0.3,0.3,0.2,0.9,5.6,8.8
Jonathan Mogbo,TOR,0.0,1.9,1.3,0.7,0.1,0.1,0.1,0.0,0.1,3.9,5.0
Immanuel Quickley,TOR,0.0,15.9,3.8,6.1,1.3,0.1,1.3,2.3,2.2,25.8,32.5
Jamal Shead,TOR,0.0,7.1,1.7,5.8,0.8,0.1,1.5,1.0,1.6,14.6,19.0
Garrett Temple,TOR,0.0,0.2,0.3,0.3,0.2,0.0,0.3,0.1,0.1,0.8,1.3
LJ Cryer,GSW,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.9,0.0,2.7,2.7
Stephen Curry,GSW,0.0,20.5,2.9,6.5,0.6,0.3,2.4,3.4,3.0,29.9,34.0
Draymond Green,GSW,0.0,8.8,4.9,4.1,0.6,0.5,2.5,1.5,0.8,17.8,21.6
Buddy Hield,GSW,0.0,7.2,2.3,0.9,0.8,0.3,0.5,1.4,0.4,10.4,14.1
Trayce Jackson-Davis,GSW,0.0,3.4,1.8,0.4,0.2,0.2,0.2,0.1,0.3,5.6,7.2
Jonathan Kuminga,GSW,0.0,6.8,4.7,1.7,0.1,0.3,1.8,0.6,1.1,13.2,14.4
Malevy Leons,GSW,0.0,0.0,1.8,0.0,0.0,0.0,0.9,0.0,0.0,1.8,1.3
De'Anthony Melton,GSW,0.0,12.6,2.7,1.8,0.8,0.5,1.1,1.6,1.9,17.1,21.3
Moses Moody,GSW,0.0,10.8,1.9,1.3,0.7,0.3,0.4,2.7,0.7,14.0,17.6
Gary Payton II,GSW,0.0,4.7,3.4,1.2,0.4,0.1,0.9,0.2,0.2,9.3,11.2
Brandin Podziemski,GSW,0.0,13.2,4.1,3.3,1.2,0.0,1.0,1.8,1.8,20.6,25.7
Quinten Post,GSW,0.0,7.5,3.9,1.3,0.2,0.5,0.9,1.5,0.2,12.7,15.3
Will Richard,GSW,0.0,5.2,2.1,1.7,1.0,0.2,0.7,0.9,0.4,9.0,13.2
Gui Santos,GSW,0.0,3.3,2.1,1.2,0.6,0.2,0.5,0.6,0.2,6.6,9.5
Pat Spencer,GSW,0.0,1.4,1.0,1.6,0.3,0.0,0.7,0.2,0.2,4.0,5.2
